Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18627774191,"May 23, 2026, 10:47:36 PM",Afternoon Run,Run,"",3458,5.71,,,false,,,activities/18627774191.gpx,,,3458.0,1750.0,5713.5,7.82,3.265,23.0,24.9,2.8,17.0,15.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5741.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.652,253.0,,,,4752.0,0.0,,,,3.281,,,,,,,,,,,,""
18596699967,"May 21, 2026, 3:10:40 PM",Morning Run,Run,"",1909,4.87,,,false,,,activities/18596699967.gpx,,,1909.0,1410.0,4872.9,6.28,3.456,20.8,22.8,2.8,18.8,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4910.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.553,0.0,,,,3764.0,0.0,,,,3.483,,,,,,,,,,,,""
18570459906,"May 19, 2026, 4:18:46 PM",Morning Run,Run,"Don’t remember the last time I’ve used my watch, I think I kinda miss ot",1734,4.34,,,false,,,activities/18570459906.gpx,,,1734.0,1734.0,4341.2,0.0,2.504,0.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.504,0.0,,,,3416.0,0.0,,,,,,,,,,,,,,,,""
18445455793,"May 9, 2026, 7:39:45 PM",Lunch Run,Run,Hike with [strava://athletes/74334943/12]Tyler Gallup but then i started running at mile 3,6770,8.38,,,false,,,activities/18445455793.gpx,,,6770.0,6517.0,8381.0,5.22,1.286,353.7,339.6,292.7,488.7,48.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9691.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238,4110.8,,,,9686.0,0.0,,,,1.487,,,,,,,,,,,,""
18415619524,"May 7, 2026, 5:26:27 PM",Morning Run,Run,Officially getting tired of runs here,2008,4.84,,,false,,,activities/18415619524.gpx,,,2008.0,1446.0,4842.2,6.32,3.349,12.5,12.5,2.8,15.6,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4866.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.411,22.8,,,,3846.0,0.0,,,,3.365,,,,,,,,,,,,""
18334726525,"May 1, 2026, 3:05:49 PM",Morning Run,Run,"",1901,5.26,,,false,,,activities/18334726525.gpx,,,1901.0,1532.0,5264.8,7.42,3.437,15.8,17.3,2.8,18.8,9.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5293.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.769,0.0,,,,4088.0,0.0,,,,3.455,,,,,,,,,,,,""
18298145185,"Apr 28, 2026, 8:52:55 PM",Afternoon Run,Run,Dropped off book at the library and picked up empanadas. Runs now have been completing errands and making fun pit stops,2539,5.99,,,false,,,activities/18298145185.gpx,,,2539.0,2077.0,5995.7,12.62,2.887,14.2,16.4,2.8,17.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6016.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.361,7.0,,,,4956.0,0.0,,,,2.897,,,0.0,0.0,,,,0.0,,,,""
18137552901,"Apr 16, 2026, 8:54:31 PM",Midwest tour,Run,"",2209,5.14,,,false,,,activities/18137552901.gpx,,,2209.0,1550.0,5140.8,5.2,3.317,32.4,28.9,302.7,314.6,14.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5189.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.327,0.0,,,,4204.0,0.0,,,,3.348,,,0.0,0.0,,,,0.0,,,,media/DFE96B08-8882-4912-9D96-A9C9A481DA02.jpg|media/E26FEFAB-DD73-4AEF-9E13-85C34805BDE0.jpg
18120827737,"Apr 15, 2026, 4:15:35 PM",Morning Run,Run,"",1886,4.86,,,false,,,activities/18120827737.gpx,,,1886.0,1396.0,4859.3,6.86,3.481,18.4,18.5,3.2,18.8,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4889.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.577,0.0,,,,3722.0,0.0,,,,3.503,,,,,,,,,,,,""
18071205245,"Apr 11, 2026, 6:12:33 PM",Lunch Run,Run,,2032,3.91,,,false,,,activities/18071205245.fit,,,2032.0,1456.0,3918.5,5.88,2.691,12.3,9.1,2.8,15.2,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3946.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.928,9.8,,,,,0.0,,,,2.713,,,0.0,0.0,,,,0.0,,,,""
